case_id,y_left,y_right,torque_over_normal,initial_margin,failure_score,dy_left,dy_right,delta_difference,repair_sign,field_l2,field_success,scalar_random_success,scalar_global_success,no_repair_success
0,0.684051407833874,0.671741230589024,-0.8425524013190635,-0.5202422240742135,0.9997574052517266,0.26012111203710675,-0.26012111203710675,-0.5202422240742135,-1,0.36786680450244774,1.0,0.0,1.0,0.0
1,-0.6226920072616176,0.5032483171941744,0.4483429792301943,-0.36759734522559767,0.9972173291450137,0.18379867261279884,-0.18379867261279884,-0.36759734522559767,-1,0.25993057555519244,1.0,0.0,1.0,0.0
2,0.2545956021603313,-0.2877953136162837,0.20129391478907865,-0.43368483056569357,0.9990316588444437,-0.21684241528284678,0.21684241528284678,0.43368483056569357,1,0.30666148459074083,1.0,0.0,0.0,0.0
3,0.1602026004612569,0.12180602566800469,-0.6490725465158693,-0.3006759717226171,0.991924526744226,0.15033798586130856,-0.15033798586130856,-0.3006759717226171,-1,0.21261001854491718,1.0,1.0,1.0,0.0
4,-0.10399553956309704,-0.159702269691943,0.4237229543511851,-0.1694296844800311,0.9376653083265564,-0.08471484224001555,0.08471484224001555,0.1694296844800311,1,0.11980487883012714,1.0,1.0,0.0,0.0
5,-0.08271871691121957,-0.34763888752600786,-0.8817437741535705,-0.3068236035387822,0.99267549074189,0.1534118017693911,-0.1534118017693911,-0.3068236035387822,-1,0.21695705069036567,1.0,0.0,1.0,0.0
6,-0.7088327143637715,-0.052659206854031915,-0.3449162570780129,-0.6910897645877525,0.999984230801817,0.34554488229387625,-0.34554488229387625,-0.6910897645877525,-1,0.48867425894861455,1.0,1.0,1.0,0.0
7,-0.17997761714893257,0.5876841867424312,0.04893026137745382,-0.4087315425139099,0.9985571696194344,0.20436577125695496,-0.20436577125695496,-0.4087315425139099,-1,0.28901684539642336,1.0,0.0,1.0,0.0
8,0.09076554153974836,-0.3958148893274069,-0.9046696496325137,-0.10808921876535849,0.8493391766111109,0.05404460938267924,-0.05404460938267924,-0.10808921876535849,-1,0.07643061956214121,1.0,0.0,1.0,0.0
9,0.5903573048744828,0.44513988213245925,0.44536321459855777,-0.2805806373405813,0.9888960706259389,-0.14029031867029065,0.14029031867029065,0.2805806373405813,1,0.19840047133316846,1.0,1.0,0.0,0.0
10,0.6098904748463414,0.39432822574960635,0.5505205111773501,-0.4560827602740852,0.999323109664347,-0.2280413801370426,0.2280413801370426,0.4560827602740852,1,0.3224992125720842,1.0,0.0,0.0,0.0
11,-0.5082230200439717,0.38100610747780816,0.4087867066511617,-0.17044242087061817,0.9386057146760047,0.08522121043530909,-0.08522121043530909,-0.17044242087061817,-1,0.12052099159946564,1.0,0.0,1.0,0.0
12,0.6372481081418555,0.0012615939459823533,0.6298965306044433,-0.9558830448003164,0.999999772047587,-0.4779415224001582,0.4779415224001582,0.9558830448003164,1,0.6759113829995481,1.0,0.0,0.0,0.0
13,-0.05848175267754352,0.10155760563036642,0.7986278344646647,-0.32858847615675474,0.9948182417439371,-0.16429423807837737,0.16429423807837737,0.32858847615675474,1,0.23234713971019547,1.0,0.0,0.0,0.0
14,-0.262999134346653,0.29935745710536543,-0.6344675975611602,-0.8868241890131787,0.999999311800942,0.44341209450658936,-0.44341209450658936,-0.8868241890131787,-1,0.6270793977714793,1.0,0.0,1.0,0.0
15,0.6119107449391419,-0.34779373065027547,0.7816178881492888,-1.431322363738706,0.99999999988672,-0.715661181869353,0.715661181869353,1.431322363738706,1,1.0120977494635972,1.0,0.0,0.0,0.0
16,-0.28565531257580895,0.686042567334237,0.3917910320984488,-0.2699068478115972,0.9868553619761936,0.1349534239057986,-0.1349534239057986,-0.2699068478115972,-1,0.19085296237626584,1.0,0.0,1.0,0.0
17,0.01783748753292369,0.651231538700668,0.23420366477915744,-0.08919038638858684,0.8064406594799445,0.04459519319429342,-0.04459519319429342,-0.08919038638858684,-1,0.0630671270320181,1.0,1.0,1.0,0.0
18,-0.6369369463889318,0.4805999920680253,0.42930364620686645,-0.37823329225009067,0.997651747138053,0.18911664612504533,-0.18911664612504533,-0.37823329225009067,-1,0.26745132582055237,1.0,0.0,1.0,0.0
19,0.6114804314269813,-0.46289590004382375,0.4650871761269728,-1.2294635075977778,0.9999999971370581,-0.6147317537988889,0.6147317537988889,1.2294635075977778,1,0.869361983443787,1.0,1.0,0.0,0.0
20,-0.6618616554020165,0.22936489115182446,-0.43111050855941624,-1.0123370551132571,0.9999999076234772,0.5061685275566286,-0.5061685275566286,-1.0123370551132571,-1,0.7158303965170039,1.0,1.0,1.0,0.0
21,-0.4100752061328554,0.5632367571723567,-0.7480946329735026,-1.4114065962787148,0.9999999998442091,0.7057032981393574,-0.7057032981393574,-1.4114065962787148,-1,0.998015175240103,1.0,0.0,1.0,0.0
22,0.03354399803839492,0.5309145107773081,-0.4848192418588679,-0.6721897545977811,0.9999786627761303,0.33609487729889054,-0.33609487729889054,-0.6721897545977811,-1,0.47530993372021224,1.0,0.0,1.0,0.0
23,-0.43428159195653027,0.5708726390494199,-0.14645646805957757,-0.8416106990655274,0.9999985813042634,0.4208053495327637,-0.4208053495327637,-0.8416106990655274,-1,0.5951086324283852,1.0,0.0,1.0,0.0
24,0.3254416483574629,-0.7021903948098823,-0.26152186852384274,-0.4561101746435026,0.9993234063027491,-0.2280550873217513,0.2280550873217513,0.4561101746435026,1,0.3225185974586012,1.0,1.0,0.0,0.0
25,-0.49217851181140143,0.25914816212031266,-0.7924839629313064,-1.2338106368630206,0.99999999732942,0.6169053184315103,-0.6169053184315103,-1.2338106368630206,-1,0.8724358680259348,1.0,1.0,1.0,0.0
26,0.6818432480186214,-0.7119829277596484,0.43590466413942774,-1.5197308399176976,0.9999999999724687,-0.7598654199588488,0.7598654199588488,1.5197308399176976,1,1.0746119824841316,1.0,1.0,0.0,0.0
27,-0.5143225669698377,-0.4743917861235357,0.3638413094258224,-0.01391052857952041,0.5554135524936584,-0.006955264289760205,0.006955264289760205,0.01391052857952041,1,0.009836229088468153,1.0,0.0,0.0,0.0
28,-0.17165117797115914,-0.6852585063037511,0.9310029377853222,-1.134610266117914,0.9999999869406864,-0.567305133058957,0.567305133058957,1.134610266117914,1,0.8022906131758503,1.0,0.0,0.0,0.0
