suite,baseline,seed,case_id,contact_count,positive_prior,noise_scale,mask_rate,limit_scale,active_count,error_sign,initial_error,initial_margin,field_feasible,success,post_margin,effort,field_effort,disagreement_l2,correct_direction,clipped
biased_scalar_grid,signed_margin,500,4,4,0.5,0.0,0.0,1.0,4,1,0.3200300388467766,-0.12611685430507205,1.0,1.0,-2.7755575615628914e-17,0.057584491908622165,0.057584491908622165,0.0,1.0,0.0
biased_scalar_grid,counterfactual_field,500,4,4,0.5,0.0,0.0,1.0,4,1,0.3200300388467766,-0.12611685430507205,1.0,1.0,-2.7755575615628914e-17,0.057584491908622165,0.057584491908622165,0.0,1.0,0.0
biased_scalar_grid,scalar_random_sign,500,5,4,0.5,0.0,0.0,1.0,4,-1,-0.2952200705121437,-0.0687240734316196,1.0,0.0,-0.13744814686323922,0.044450835349751895,0.044450835349751895,0.11643502956116619,0.0,0.0
biased_scalar_grid,scalar_global_sign,500,5,4,0.5,0.0,0.0,1.0,4,-1,-0.2952200705121437,-0.0687240734316196,1.0,0.0,-0.13744814686323922,0.044450835349751895,0.044450835349751895,0.11643502956116619,0.0,0.0
biased_scalar_grid,scalar_prior_sample,500,5,4,0.5,0.0,0.0,1.0,4,-1,-0.2952200705121437,-0.0687240734316196,1.0,1.0,-2.7755575615628914e-17,0.044450835349751895,0.044450835349751895,0.0,1.0,0.0
biased_scalar_grid,signed_margin,500,5,4,0.5,0.0,0.0,1.0,4,-1,-0.2952200705121437,-0.0687240734316196,1.0,1.0,-2.7755575615628914e-17,0.044450835349751895,0.044450835349751895,0.0,1.0,0.0
biased_scalar_grid,counterfactual_field,500,5,4,0.5,0.0,0.0,1.0,4,-1,-0.2952200705121437,-0.0687240734316196,1.0,1.0,-2.7755575615628914e-17,0.044450835349751895,0.044450835349751895,0.0,1.0,0.0
biased_scalar_grid,scalar_random_sign,500,6,4,0.5,0.0,0.0,1.0,4,1,0.41211095982412016,-0.20661362871574515,1.0,1.0,2.7755575615628914e-17,0.12956287687671197,0.12956287687671197,0.0,1.0,0.0
biased_scalar_grid,scalar_global_sign,500,6,4,0.5,0.0,0.0,1.0,4,1,0.41211095982412016,-0.20661362871574515,1.0,1.0,2.7755575615628914e-17,0.12956287687671197,0.12956287687671197,0.0,1.0,0.0
biased_scalar_grid,scalar_prior_sample,500,6,4,0.5,0.0,0.0,1.0,4,1,0.41211095982412016,-0.20661362871574515,1.0,0.0,-0.41322725743149036,0.12956287687671197,0.12956287687671197,0.20980475804427248,0.0,0.0
